city,price_category,property_count
Kohls Ranch,Mid-Range,1
Lake Havasu,Budget,1
Lake Havasu,Luxury,7
Lake Havasu,Mid-Range,6
Lake Havasu City,Budget,119
Lake Havasu City,Luxury,347
Lake Havasu City,Mid-Range,537
Lakeside,Budget,7
Lakeside,Luxury,7
Lakeside,Mid-Range,25
Laveen,Luxury,36
Laveen,Mid-Range,298
Litchfield Park,Budget,6
Litchfield Park,Luxury,123
Litchfield Park,Mid-Range,160
Littlefield,Budget,7
Littlefield,Mid-Range,12
Mammoth,Budget,3
Marana,Budget,88
Marana,Luxury,113
Marana,Mid-Range,577
Maricopa,Budget,30
Maricopa,Luxury,16
Maricopa,Mid-Range,1304
Mayer,Budget,50
Mayer,Luxury,2
Mayer,Mid-Range,23
McNeal,Budget,3
Meadview,Budget,31
Meadview,Mid-Range,4
Mesa,Budget,654
Mesa,Luxury,483
Mesa,Mid-Range,1759
Miami,Budget,12
Miami,Luxury,1
Miami,Mid-Range,4
Mohave Valley,Budget,82
Mohave Valley,Luxury,7
Mohave Valley,Mid-Range,62
Mormon Lake,Mid-Range,1
Morristown,Budget,44
Morristown,Luxury,4
Morristown,Mid-Range,12
Mount Lemmon,Budget,2
Mount Lemmon,Luxury,4
Mount Lemmon,Mid-Range,1
Munds Park,Budget,5
Munds Park,Luxury,22
Munds Park,Mid-Range,11
Naco,Budget,1
New River,Luxury,35
New River,Mid-Range,16
Nogales,Budget,49
Nogales,Luxury,8
Nogales,Mid-Range,13
Nutrioso,Luxury,1
Nutrioso,Mid-Range,1
Oatman,Luxury,1
Oracle,Budget,16
Oracle,Luxury,23
Oracle,Mid-Range,27
Oro Valley,Budget,12
Oro Valley,Luxury,170
Oro Valley,Mid-Range,329
Overgaard,Budget,21
Overgaard,Luxury,17
Overgaard,Mid-Range,25
Page,Budget,15
Page,Luxury,6
Page,Mid-Range,27
Palo Verde,Budget,1
Paradise Valley,Luxury,239
Paradise Valley,Mid-Range,16
Parker,Budget,43
Parker,Luxury,12
Parker,Mid-Range,14
Parks,Budget,1
Parks,Luxury,2
Parks,Mid-Range,3
Patagonia,Budget,2
Patagonia,Luxury,5
Patagonia,Mid-Range,10
Paulden,Budget,14
Paulden,Luxury,3
Paulden,Mid-Range,30
Payson,Budget,56
Payson,Luxury,90
Payson,Mid-Range,130
Pearce,Budget,24
Pearce,Luxury,2
Pearce,Mid-Range,3
Peeples Valley,Budget,7
Peeples Valley,Mid-Range,2
Peoria,Budget,128
Peoria,Luxury,350
Peoria,Mid-Range,751
Phoenix,Budget,1199
Phoenix,Luxury,1816
Phoenix,Mid-Range,4614
Picacho,Mid-Range,2
Pima,Budget,7
Pima,Mid-Range,6
Pine,Budget,2
Pine,Luxury,9
Pine,Mid-Range,27
Pinedale,Budget,1
Pinedale,Luxury,5
Pinedale,Mid-Range,4
Pinetop,Budget,5
Pinetop,Luxury,23
Pinetop,Mid-Range,33
Pinetop Lakeside,Mid-Range,1
Pirtleville,Budget,2
Portal,Budget,2
Portal,Mid-Range,2
Prescott,Budget,68
Prescott,Luxury,405
Prescott,Mid-Range,298
Prescott Valley,Budget,60
Prescott Valley,Luxury,137
Prescott Valley,Mid-Range,292
Quartzsite,Budget,9
Quartzsite,Mid-Range,2
Queen Creek,Budget,3
Queen Creek,Luxury,430
Queen Creek,Mid-Range,404
Queen Valley,Budget,6
Queen Valley,Luxury,3
Queen Valley,Mid-Range,1
Red Rock,Budget,12
Red Rock,Mid-Range,20
Rimrock,Budget,9
Rimrock,Luxury,5
Rimrock,Mid-Range,27
Rio Rico,Budget,96
Rio Rico,Luxury,3
Rio Rico,Mid-Range,45
Rio Verde,Budget,1
Rio Verde,Luxury,62
Rio Verde,Mid-Range,20
Roll,Budget,1
Roosevelt,Budget,2
Roosevelt,Mid-Range,5
Saddlebrooke,Budget,2
Saddlebrooke,Luxury,19
Saddlebrooke,Mid-Range,77
Safford,Budget,31
Safford,Luxury,2
Safford,Mid-Range,11
