city,status,property_count
Pinetop,for_sale,53
Pinetop,sold,8
Pinetop Lakeside,for_sale,1
Pirtleville,for_sale,1
Pirtleville,sold,1
Portal,for_sale,4
Prescott,for_sale,420
Prescott,sold,351
Prescott Valley,for_sale,263
Prescott Valley,sold,226
Quartzsite,for_sale,10
Quartzsite,sold,1
Queen Creek,for_sale,414
Queen Creek,sold,423
Queen Valley,for_sale,7
Queen Valley,sold,3
Red Rock,for_sale,17
Red Rock,sold,15
Rimrock,for_sale,34
Rimrock,sold,7
Rio Rico,for_sale,76
Rio Rico,sold,68
Rio Verde,for_sale,51
Rio Verde,sold,32
Roll,for_sale,1
Roosevelt,for_sale,3
Roosevelt,sold,4
Saddlebrooke,for_sale,38
Saddlebrooke,sold,60
Safford,for_sale,38
Safford,sold,6
Sahuarita,for_sale,199
Sahuarita,sold,311
Saint David,for_sale,23
Saint David,sold,2
Saint Johns,for_sale,9
Salome,for_sale,17
Salome,sold,3
San Luis,for_sale,24
San Luis,sold,20
San Manuel,for_sale,11
San Manuel,sold,10
San Simon,for_sale,5
San Tan Valley,for_sale,347
San Tan Valley,sold,688
Scottsdale,for_sale,1639
Scottsdale,sold,1438
Sedona,for_sale,100
Sedona,sold,38
Seligman,for_sale,28
Seligman,sold,3
Show Low,for_sale,115
Show Low,sold,7
Sierra Vista,for_sale,207
Sierra Vista,sold,126
Skull Valley,for_sale,2
Skull Valley,sold,2
Snowflake,for_sale,33
Snowflake,sold,1
Solomon,for_sale,1
Solomon,sold,2
Somerton,for_sale,22
Somerton,sold,32
Sonoita,for_sale,6
Sonoita,sold,2
Spring Valley,sold,1
Springerville,for_sale,10
Springerville,sold,1
Stanfield,for_sale,3
Stanfield,sold,2
Star Valley,for_sale,10
Star Valley,sold,6
Strawberry,for_sale,14
Sun City,for_sale,369
Sun City,sold,530
Sun City West,for_sale,219
Sun City West,sold,392
Sun Lakes,for_sale,116
Sun Lakes,sold,207
Superior,for_sale,16
Superior,sold,10
Surprise,for_sale,656
Surprise,sold,764
Tacna,for_sale,1
Taylor,for_sale,15
Tempe,for_sale,290
Tempe,sold,612
Thatcher,for_sale,7
Thatcher,sold,3
Tolleson,for_sale,73
Tolleson,sold,95
Toltec,for_sale,1
Toltec,sold,1
Tombstone,for_sale,13
Tombstone,sold,4
Tonopah,for_sale,39
Tonopah,sold,53
Tonto Basin,for_sale,18
Tonto Basin,sold,18
Topock Golden Shores,for_sale,14
Topock Golden Shores,sold,7
Tubac,for_sale,48
Tubac,sold,39
